[rootfs] target : build/output/rootfs
[rootfs] suite  : noble (amd64)
[rootfs] mirror : http://archive.ubuntu.com/ubuntu
[rootfs] running debootstrap (minbase)...
I: Retrieving InRelease 
I: Checking Release signature
I: Valid Release signature (key id F6ECB3762474EDA9D21B7022871920D1991BC93C)
I: Retrieving Packages 
I: Validating Packages 
I: Retrieving Packages 
I: Validating Packages 
I: Resolving dependencies of required packages...
I: Resolving dependencies of base packages...
I: Checking component main on http://archive.ubuntu.com/ubuntu...
I: Retrieving apt 2.7.14build2
I: Validating apt 2.7.14build2
I: Retrieving base-files 13ubuntu10
I: Validating base-files 13ubuntu10
I: Retrieving base-passwd 3.6.3build1
I: Validating base-passwd 3.6.3build1
I: Retrieving bash 5.2.21-2ubuntu4
I: Validating bash 5.2.21-2ubuntu4
I: Retrieving bsdutils 1:2.39.3-9ubuntu6
I: Validating bsdutils 1:2.39.3-9ubuntu6
I: Retrieving coreutils 9.4-3ubuntu6
I: Validating coreutils 9.4-3ubuntu6
I: Retrieving dash 0.5.12-6ubuntu5
I: Validating dash 0.5.12-6ubuntu5
I: Retrieving debconf 1.5.86ubuntu1
I: Validating debconf 1.5.86ubuntu1
I: Retrieving debianutils 5.17build1
I: Validating debianutils 5.17build1
I: Retrieving diffutils 1:3.10-1build1
I: Validating diffutils 1:3.10-1build1
I: Retrieving dpkg 1.22.6ubuntu6
I: Validating dpkg 1.22.6ubuntu6
I: Retrieving e2fsprogs 1.47.0-2.4~exp1ubuntu4
I: Validating e2fsprogs 1.47.0-2.4~exp1ubuntu4
I: Retrieving findutils 4.9.0-5build1
I: Validating findutils 4.9.0-5build1
I: Retrieving gcc-14-base 14-20240412-0ubuntu1
I: Validating gcc-14-base 14-20240412-0ubuntu1
I: Retrieving gpgv 2.4.4-2ubuntu17
I: Validating gpgv 2.4.4-2ubuntu17
I: Retrieving grep 3.11-4build1
I: Validating grep 3.11-4build1
I: Retrieving gzip 1.12-1ubuntu3
I: Validating gzip 1.12-1ubuntu3
I: Retrieving hostname 3.23+nmu2ubuntu2
I: Validating hostname 3.23+nmu2ubuntu2
I: Retrieving init-system-helpers 1.66ubuntu1
I: Validating init-system-helpers 1.66ubuntu1
I: Retrieving libacl1 2.3.2-1build1
I: Validating libacl1 2.3.2-1build1
I: Retrieving libapt-pkg6.0t64 2.7.14build2
I: Validating libapt-pkg6.0t64 2.7.14build2
I: Retrieving libassuan0 2.5.6-1build1
I: Validating libassuan0 2.5.6-1build1
I: Retrieving libattr1 1:2.5.2-1build1
I: Validating libattr1 1:2.5.2-1build1
I: Retrieving libaudit-common 1:3.1.2-2.1build1
I: Validating libaudit-common 1:3.1.2-2.1build1
I: Retrieving libaudit1 1:3.1.2-2.1build1
I: Validating libaudit1 1:3.1.2-2.1build1
I: Retrieving libblkid1 2.39.3-9ubuntu6
I: Validating libblkid1 2.39.3-9ubuntu6
I: Retrieving libbz2-1.0 1.0.8-5.1
I: Validating libbz2-1.0 1.0.8-5.1
I: Retrieving libc-bin 2.39-0ubuntu8
I: Validating libc-bin 2.39-0ubuntu8
I: Retrieving libc6 2.39-0ubuntu8
I: Validating libc6 2.39-0ubuntu8
